date,session_key,position,driver_number,meeting_key
2025-09-07T13:09:31.895000+00:00,9912,8,14,1268
2025-09-07T13:09:31.895000+00:00,9912,7,44,1268
2025-09-07T13:10:53.476000+00:00,9912,3,81,1268
2025-09-07T13:10:53.476000+00:00,9912,4,16,1268
2025-09-07T13:12:19.970000+00:00,9912,7,5,1268
2025-09-07T13:12:19.970000+00:00,9912,6,44,1268
2025-09-07T13:13:52.269000+00:00,9912,18,43,1268
2025-09-07T13:13:52.269000+00:00,9912,17,6,1268
2025-09-07T13:13:59.816000+00:00,9912,17,43,1268
2025-09-07T13:13:59.816000+00:00,9912,18,6,1268
2025-09-07T13:16:28.998000+00:00,9912,15,18,1268
2025-09-07T13:16:28.998000+00:00,9912,16,30,1268
2025-09-07T13:16:30.498000+00:00,9912,16,43,1268
2025-09-07T13:16:30.498000+00:00,9912,17,30,1268
2025-09-07T13:16:30.967000+00:00,9912,18,30,1268
2025-09-07T13:16:30.967000+00:00,9912,17,6,1268
2025-09-07T13:16:37.686000+00:00,9912,19,30,1268
2025-09-07T13:16:37.686000+00:00,9912,18,10,1268
2025-09-07T13:20:53.148000+00:00,9912,17,43,1268
2025-09-07T13:20:53.148000+00:00,9912,16,6,1268
2025-09-07T13:27:52.106000+00:00,9912,9,12,1268
2025-09-07T13:27:52.106000+00:00,9912,10,22,1268
2025-09-07T13:29:06.594000+00:00,9912,12,87,1268
2025-09-07T13:29:06.594000+00:00,9912,11,55,1268
2025-09-07T13:29:07.214000+00:00,9912,13,87,1268
2025-09-07T13:29:07.214000+00:00,9912,12,23,1268
2025-09-07T13:29:07.585000+00:00,9912,14,87,1268
2025-09-07T13:29:07.585000+00:00,9912,13,31,1268
2025-09-07T13:29:08.192000+00:00,9912,15,87,1268
2025-09-07T13:29:08.192000+00:00,9912,14,18,1268
2025-09-07T13:29:10.085000+00:00,9912,16,87,1268
2025-09-07T13:29:10.085000+00:00,9912,15,6,1268
2025-09-07T13:29:18.640000+00:00,9912,17,87,1268
2025-09-07T13:29:18.640000+00:00,9912,16,43,1268
