date,session_key,meeting_key,driver_number,position
2025-04-06T05:36:57.754000+00:00,10006,1256,4,6
2025-04-06T05:36:57.754000+00:00,10006,1256,16,7
2025-04-06T05:36:57.754000+00:00,10006,1256,23,5
2025-04-06T05:36:59.722000+00:00,10006,1256,1,5
2025-04-06T05:36:59.722000+00:00,10006,1256,23,4
2025-04-06T05:37:01.129000+00:00,10006,1256,16,8
2025-04-06T05:37:01.129000+00:00,10006,1256,87,7
2025-04-06T05:37:03.019000+00:00,10006,1256,81,8
2025-04-06T05:37:03.019000+00:00,10006,1256,16,9
2025-04-06T05:37:07.316000+00:00,10006,1256,16,10
2025-04-06T05:37:07.316000+00:00,10006,1256,14,9
2025-04-06T05:38:01.926000+00:00,10006,1256,63,11
2025-04-06T05:38:01.926000+00:00,10006,1256,10,12
2025-04-06T05:38:02.004000+00:00,10006,1256,81,7
2025-04-06T05:38:02.004000+00:00,10006,1256,87,8
2025-04-06T05:38:45.817000+00:00,10006,1256,27,17
2025-04-06T05:38:45.817000+00:00,10006,1256,31,16
2025-04-06T05:38:52.973000+00:00,10006,1256,27,18
2025-04-06T05:38:52.973000+00:00,10006,1256,5,17
2025-04-06T05:39:12.552000+00:00,10006,1256,27,19
2025-04-06T05:39:12.552000+00:00,10006,1256,7,18
2025-04-06T05:40:07.583000+00:00,10006,1256,1,4
2025-04-06T05:40:07.583000+00:00,10006,1256,23,5
2025-04-06T05:40:09.443000+00:00,10006,1256,87,9
2025-04-06T05:40:09.443000+00:00,10006,1256,14,8
2025-04-06T05:40:13.818000+00:00,10006,1256,16,8
2025-04-06T05:40:13.818000+00:00,10006,1256,87,10
2025-04-06T05:40:13.818000+00:00,10006,1256,14,9
2025-04-06T05:40:15.146000+00:00,10006,1256,63,10
2025-04-06T05:40:15.146000+00:00,10006,1256,87,11
2025-04-06T05:40:17.662000+00:00,10006,1256,87,12
2025-04-06T05:40:17.662000+00:00,10006,1256,10,11
2025-04-06T05:40:21.505000+00:00,10006,1256,87,13
2025-04-06T05:40:21.505000+00:00,10006,1256,30,12
2025-04-06T05:40:21.505000+00:00,10006,1256,22,14
2025-04-06T05:40:22.099000+00:00,10006,1256,87,14
2025-04-06T05:40:22.099000+00:00,10006,1256,22,15
2025-04-06T05:40:22.099000+00:00,10006,1256,55,13
2025-04-06T05:40:24.458000+00:00,10006,1256,87,15
2025-04-06T05:40:24.458000+00:00,10006,1256,22,16
2025-04-06T05:40:24.458000+00:00,10006,1256,31,14
2025-04-06T05:40:27.115000+00:00,10006,1256,87,16
2025-04-06T05:40:27.115000+00:00,10006,1256,22,17
2025-04-06T05:40:27.115000+00:00,10006,1256,5,15
2025-04-06T05:41:36.006000+00:00,10006,1256,4,5
2025-04-06T05:41:36.006000+00:00,10006,1256,23,6
2025-04-06T05:41:37.787000+00:00,10006,1256,81,6
2025-04-06T05:41:37.787000+00:00,10006,1256,23,7
2025-04-06T05:41:45.100000+00:00,10006,1256,63,9
2025-04-06T05:41:45.100000+00:00,10006,1256,14,10
2025-04-06T05:41:47.131000+00:00,10006,1256,16,7
2025-04-06T05:41:47.131000+00:00,10006,1256,23,8
2025-04-06T05:41:49.381000+00:00,10006,1256,63,8
2025-04-06T05:41:49.381000+00:00,10006,1256,23,9
2025-04-06T05:41:55.756000+00:00,10006,1256,23,10
2025-04-06T05:41:55.756000+00:00,10006,1256,10,12
2025-04-06T05:41:55.756000+00:00,10006,1256,14,11
2025-04-06T05:41:55.756000+00:00,10006,1256,30,9
2025-04-06T05:41:56.663000+00:00,10006,1256,23,11
2025-04-06T05:41:56.663000+00:00,10006,1256,10,13
2025-04-06T05:41:56.663000+00:00,10006,1256,14,12
2025-04-06T05:41:56.663000+00:00,10006,1256,55,10
2025-04-06T05:41:58.694000+00:00,10006,1256,23,12
2025-04-06T05:41:58.694000+00:00,10006,1256,10,14
2025-04-06T05:41:58.694000+00:00,10006,1256,14,13
2025-04-06T05:41:58.694000+00:00,10006,1256,31,11
2025-04-06T05:42:00.881000+00:00,10006,1256,10,15
2025-04-06T05:42:00.881000+00:00,10006,1256,14,14
2025-04-06T05:42:00.881000+00:00,10006,1256,5,13
2025-04-06T05:42:03.116000+00:00,10006,1256,23,13
2025-04-06T05:42:03.116000+00:00,10006,1256,5,12
2025-04-06T05:42:08.719000+00:00,10006,1256,87,14
2025-04-06T05:42:08.719000+00:00,10006,1256,10,16
2025-04-06T05:42:08.719000+00:00,10006,1256,14,15
2025-04-06T05:42:17.233000+00:00,10006,1256,10,17
2025-04-06T05:42:17.233000+00:00,10006,1256,22,16
2025-04-06T05:42:22.456000+00:00,10006,1256,10,18
2025-04-06T05:42:22.456000+00:00,10006,1256,7,17
2025-04-06T05:43:05.945000+00:00,10006,1256,1,3
2025-04-06T05:43:05.945000+00:00,10006,1256,6,4
2025-04-06T05:43:12.757000+00:00,10006,1256,4,4
2025-04-06T05:43:12.757000+00:00,10006,1256,6,5
2025-04-06T05:43:14.632000+00:00,10006,1256,81,5
2025-04-06T05:43:14.632000+00:00,10006,1256,6,6
2025-04-06T05:43:19.820000+00:00,10006,1256,16,6
2025-04-06T05:43:19.820000+00:00,10006,1256,6,7
2025-04-06T05:43:22.460000+00:00,10006,1256,63,7
2025-04-06T05:43:22.460000+00:00,10006,1256,6,8
2025-04-06T05:43:32.132000+00:00,10006,1256,6,9
2025-04-06T05:43:32.132000+00:00,10006,1256,30,8
2025-04-06T05:43:33.039000+00:00,10006,1256,6,10
2025-04-06T05:43:33.039000+00:00,10006,1256,55,9
2025-04-06T05:46:44.743000+00:00,10006,1256,23,12
2025-04-06T05:46:44.743000+00:00,10006,1256,5,13
2025-04-06T05:48:22.578000+00:00,10006,1256,23,11
2025-04-06T05:48:22.578000+00:00,10006,1256,31,12
2025-04-06T05:49:53.288000+00:00,10006,1256,6,9
2025-04-06T05:49:53.288000+00:00,10006,1256,55,10
2025-04-06T05:50:48.008000+00:00,10006,1256,1,2
2025-04-06T05:50:48.008000+00:00,10006,1256,44,3
2025-04-06T05:50:49.492000+00:00,10006,1256,4,3
2025-04-06T05:50:49.492000+00:00,10006,1256,44,4
2025-04-06T05:50:55.851000+00:00,10006,1256,81,4
2025-04-06T05:50:55.851000+00:00,10006,1256,44,5
2025-04-06T05:51:01.523000+00:00,10006,1256,16,5
2025-04-06T05:51:01.523000+00:00,10006,1256,44,6
2025-04-06T05:51:04.820000+00:00,10006,1256,63,6
2025-04-06T05:51:04.820000+00:00,10006,1256,44,7
2025-04-06T05:51:08.727000+00:00,10006,1256,23,10
2025-04-06T05:51:08.727000+00:00,10006,1256,55,11
2025-04-06T05:52:16.687000+00:00,10006,1256,6,8
2025-04-06T05:52:16.687000+00:00,10006,1256,30,9
2025-04-06T05:52:24.258000+00:00,10006,1256,1,1
2025-04-06T05:52:24.258000+00:00,10006,1256,12,2
2025-04-06T05:52:25.743000+00:00,10006,1256,4,2
2025-04-06T05:52:25.743000+00:00,10006,1256,12,3
2025-04-06T05:52:26.383000+00:00,10006,1256,87,13
2025-04-06T05:52:26.383000+00:00,10006,1256,5,14
2025-04-06T05:52:27.883000+00:00,10006,1256,81,3
2025-04-06T05:52:27.883000+00:00,10006,1256,12,4
2025-04-06T05:52:33.571000+00:00,10006,1256,16,4
2025-04-06T05:52:33.571000+00:00,10006,1256,12,5
2025-04-06T05:52:36.883000+00:00,10006,1256,63,5
2025-04-06T05:52:36.883000+00:00,10006,1256,12,6
2025-04-06T05:53:05.649000+00:00,10006,1256,14,14
2025-04-06T05:53:05.649000+00:00,10006,1256,5,15
2025-04-06T05:53:07.181000+00:00,10006,1256,22,15
2025-04-06T05:53:07.181000+00:00,10006,1256,5,16
2025-04-06T05:53:10.524000+00:00,10006,1256,5,17
2025-04-06T05:53:10.524000+00:00,10006,1256,7,16
2025-04-06T05:53:11.727000+00:00,10006,1256,10,17
2025-04-06T05:53:11.727000+00:00,10006,1256,5,18
2025-04-06T05:53:13.134000+00:00,10006,1256,27,18
2025-04-06T05:53:13.134000+00:00,10006,1256,5,19
2025-04-06T05:54:22.728000+00:00,10006,1256,23,9
2025-04-06T05:54:22.728000+00:00,10006,1256,30,10
2025-04-06T05:54:29.956000+00:00,10006,1256,87,12
2025-04-06T05:54:29.956000+00:00,10006,1256,31,13
2025-04-06T05:54:38.316000+00:00,10006,1256,14,13
2025-04-06T05:54:38.316000+00:00,10006,1256,31,14
2025-04-06T05:54:39.910000+00:00,10006,1256,22,14
2025-04-06T05:54:39.910000+00:00,10006,1256,31,15
2025-04-06T05:54:43.519000+00:00,10006,1256,31,16
2025-04-06T05:54:43.519000+00:00,10006,1256,7,15
2025-04-06T05:54:44.394000+00:00,10006,1256,10,16
2025-04-06T05:54:44.394000+00:00,10006,1256,31,17
2025-04-06T05:54:45.800000+00:00,10006,1256,27,17
2025-04-06T05:54:45.800000+00:00,10006,1256,31,18
2025-04-06T05:54:49.660000+00:00,10006,1256,10,15
2025-04-06T05:54:49.660000+00:00,10006,1256,7,16
2025-04-06T05:56:03.501000+00:00,10006,1256,87,11
2025-04-06T05:56:03.501000+00:00,10006,1256,55,12
2025-04-06T05:56:07.845000+00:00,10006,1256,87,10
2025-04-06T05:56:07.845000+00:00,10006,1256,30,11
2025-04-06T05:56:10.813000+00:00,10006,1256,14,11
2025-04-06T05:56:10.813000+00:00,10006,1256,30,12
2025-04-06T05:56:10.813000+00:00,10006,1256,55,13
2025-04-06T05:56:12.735000+00:00,10006,1256,30,13
2025-04-06T05:56:12.735000+00:00,10006,1256,22,12
2025-04-06T05:56:12.735000+00:00,10006,1256,55,14
2025-04-06T05:56:16.985000+00:00,10006,1256,10,13
2025-04-06T05:56:16.985000+00:00,10006,1256,30,14
2025-04-06T05:56:16.985000+00:00,10006,1256,55,15
2025-04-06T05:56:18.626000+00:00,10006,1256,30,15
2025-04-06T05:56:18.626000+00:00,10006,1256,55,16
2025-04-06T05:56:18.626000+00:00,10006,1256,7,14
2025-04-06T05:56:18.907000+00:00,10006,1256,30,16
2025-04-06T05:56:18.907000+00:00,10006,1256,55,17
2025-04-06T05:56:18.907000+00:00,10006,1256,27,15
2025-04-06T05:59:36.021000+00:00,10006,1256,30,17
2025-04-06T05:59:36.021000+00:00,10006,1256,55,16
2025-04-06T06:18:04.464000+00:00,10006,1256,55,15
2025-04-06T06:18:04.464000+00:00,10006,1256,27,16
2025-04-06T06:21:09.627000+00:00,10006,1256,55,14
2025-04-06T06:21:09.627000+00:00,10006,1256,7,15
