session_key,race_dynamics_score
10022,0.23934712773998484
10033,0.16707752320275002
9987,0.31783138092215363
9955,0.33091543293654446
10014,0.5214285714285715
10006,0.23655731523378581
9912,0.3075326768623309
9877,0.33564064558629775
9858,0.2337079568669573
9888,0.25992424242424245
9693,0.19059927001103474
9904,0.21935553168635885
9850,0.2281084656084656
9971,0.3631578947368421
9998,0.43782828282828284
9869,0.45258980785296576
9920,0.21849594297813021
9839,0.4014411027568922
9979,0.12613871595450538
9928,0.267392211278591
9963,0.30519254484570807
9947,0.5053347197464845
9896,0.257103825136612
9939,0.26799557032115173
