session_key,chaos_score,dnf,safety_car,investigation
10022,0.084,0.1,0.02,0.14
10033,0.14035087719298245,0.2,0.05263157894736842,0.12280701754385964
9987,0.0753968253968254,0.1,0.031746031746031744,0.07936507936507936
9955,0.13571428571428573,0.2,0.014285714285714285,0.15714285714285714
10014,0.10789473684210527,0.1,0.017543859649122806,0.2631578947368421
10006,0.011320754716981133,0.0,0.0,0.05660377358490566
9912,0.0839622641509434,0.1,0.0,0.16981132075471697
9877,0.1295774647887324,0.2,0.014084507042253521,0.1267605633802817
9858,0.17700000000000002,0.25,0.04,0.2
9888,0.04107142857142857,0.05,0.017857142857142856,0.05357142857142857
9693,0.193859649122807,0.3,0.05263157894736842,0.14035087719298245
9904,0.04264705882352941,0.05,0.0196078431372549,0.058823529411764705
9850,0.1473684210526316,0.2,0.017543859649122806,0.21052631578947367
9971,0.08748006379585327,0.10526315789473684,0.015151515151515152,0.15151515151515152
9998,0.1142857142857143,0.2,0.0,0.07142857142857142
9869,0.10598591549295774,0.15,0.028169014084507043,0.11267605633802817
9920,0.125,0.15,0.05555555555555555,0.16666666666666666
9839,0.05862068965517241,0.0,0.0,0.29310344827586204
9979,0.06923076923076923,0.1,0.01282051282051282,0.07692307692307693
9928,0.053571428571428575,0.05,0.0,0.14285714285714285
9963,0.09642857142857142,0.15,0.014285714285714285,0.08571428571428572
9947,0.17884615384615385,0.25,0.07692307692307693,0.15384615384615385
9896,0.01935483870967742,0.0,0.0,0.0967741935483871
9939,0.006818181818181818,0.0,0.022727272727272728,0.0
