date,session_key,meeting_key,driver_number,position
2025-10-05T12:04:16.652000+00:00,9896,1270,22,15
2025-10-05T12:04:16.652000+00:00,9896,1270,18,14
2025-10-05T12:04:21.407000+00:00,9896,1270,6,8
2025-10-05T12:04:21.407000+00:00,9896,1270,14,9
2025-10-05T12:04:29.583000+00:00,9896,1270,22,16
2025-10-05T12:04:29.583000+00:00,9896,1270,5,15
2025-10-05T12:06:04.073000+00:00,9896,1270,22,17
2025-10-05T12:06:04.073000+00:00,9896,1270,31,16
2025-10-05T12:08:08.830000+00:00,9896,1270,6,9
2025-10-05T12:08:08.830000+00:00,9896,1270,14,8
2025-10-05T12:25:20.161000+00:00,9896,1270,5,16
2025-10-05T12:25:20.161000+00:00,9896,1270,31,15
2025-10-05T12:25:23.222000+00:00,9896,1270,22,18
2025-10-05T12:25:23.222000+00:00,9896,1270,5,17
2025-10-05T12:25:23.222000+00:00,9896,1270,55,16
2025-10-05T12:25:25.024000+00:00,9896,1270,22,19
2025-10-05T12:25:25.024000+00:00,9896,1270,10,18
2025-10-05T12:25:27.231000+00:00,9896,1270,22,20
2025-10-05T12:25:27.231000+00:00,9896,1270,23,19
2025-10-05T12:25:28.143000+00:00,9896,1270,5,18
2025-10-05T12:25:28.143000+00:00,9896,1270,10,17
2025-10-05T12:25:30.440000+00:00,9896,1270,5,19
2025-10-05T12:25:30.440000+00:00,9896,1270,23,18
2025-10-05T12:25:46.066000+00:00,9896,1270,22,19
2025-10-05T12:25:46.066000+00:00,9896,1270,5,20
2025-10-05T12:26:56.105000+00:00,9896,1270,18,13
2025-10-05T12:26:56.105000+00:00,9896,1270,43,14
2025-10-05T12:26:59.024000+00:00,9896,1270,43,15
2025-10-05T12:26:59.024000+00:00,9896,1270,31,14
2025-10-05T12:27:04.649000+00:00,9896,1270,43,16
2025-10-05T12:27:04.649000+00:00,9896,1270,55,15
2025-10-05T12:27:07.149000+00:00,9896,1270,43,17
2025-10-05T12:27:07.149000+00:00,9896,1270,10,16
2025-10-05T12:27:09.219000+00:00,9896,1270,43,18
2025-10-05T12:27:09.219000+00:00,9896,1270,23,17
2025-10-05T12:34:34.192000+00:00,9896,1270,1,3
2025-10-05T12:34:34.192000+00:00,9896,1270,4,2
2025-10-05T12:34:38.446000+00:00,9896,1270,1,4
2025-10-05T12:34:38.446000+00:00,9896,1270,81,3
2025-10-05T12:34:47.089000+00:00,9896,1270,1,5
2025-10-05T12:34:47.089000+00:00,9896,1270,16,4
2025-10-05T12:34:48.199000+00:00,9896,1270,1,6
2025-10-05T12:34:48.199000+00:00,9896,1270,12,5
2025-10-05T12:34:49.714000+00:00,9896,1270,1,7
2025-10-05T12:34:49.714000+00:00,9896,1270,44,6
2025-10-05T12:36:40.592000+00:00,9896,1270,6,10
2025-10-05T12:36:40.592000+00:00,9896,1270,87,9
2025-10-05T12:36:42.592000+00:00,9896,1270,6,11
2025-10-05T12:36:42.592000+00:00,9896,1270,27,10
2025-10-05T12:36:48.723000+00:00,9896,1270,6,12
2025-10-05T12:36:48.723000+00:00,9896,1270,30,11
2025-10-05T12:36:50.736000+00:00,9896,1270,6,13
2025-10-05T12:36:50.736000+00:00,9896,1270,18,12
2025-10-05T12:36:52.709000+00:00,9896,1270,6,14
2025-10-05T12:36:52.709000+00:00,9896,1270,31,13
2025-10-05T12:36:55.091000+00:00,9896,1270,6,15
2025-10-05T12:36:55.091000+00:00,9896,1270,55,14
2025-10-05T12:36:59.708000+00:00,9896,1270,6,16
2025-10-05T12:36:59.708000+00:00,9896,1270,10,15
2025-10-05T12:37:00.641000+00:00,9896,1270,6,17
2025-10-05T12:37:00.641000+00:00,9896,1270,23,16
2025-10-05T12:38:00.275000+00:00,9896,1270,12,4
2025-10-05T12:38:00.275000+00:00,9896,1270,16,5
2025-10-05T12:38:02.327000+00:00,9896,1270,44,5
2025-10-05T12:38:02.327000+00:00,9896,1270,16,6
2025-10-05T12:38:11.793000+00:00,9896,1270,1,6
2025-10-05T12:38:11.793000+00:00,9896,1270,16,7
2025-10-05T12:38:15.241000+00:00,9896,1270,16,8
2025-10-05T12:38:15.241000+00:00,9896,1270,14,7
2025-10-05T12:38:21.742000+00:00,9896,1270,16,9
2025-10-05T12:38:21.742000+00:00,9896,1270,87,8
2025-10-05T12:38:29.223000+00:00,9896,1270,16,10
2025-10-05T12:38:29.223000+00:00,9896,1270,27,9
2025-10-05T12:38:56.461000+00:00,9896,1270,16,9
2025-10-05T12:38:56.461000+00:00,9896,1270,27,10
2025-10-05T12:41:35.216000+00:00,9896,1270,16,8
2025-10-05T12:41:35.216000+00:00,9896,1270,87,9
2025-10-05T12:41:39.485000+00:00,9896,1270,87,10
2025-10-05T12:41:39.485000+00:00,9896,1270,27,9
2025-10-05T12:41:44.809000+00:00,9896,1270,87,11
2025-10-05T12:41:44.809000+00:00,9896,1270,30,10
2025-10-05T12:41:46.222000+00:00,9896,1270,87,12
2025-10-05T12:41:46.222000+00:00,9896,1270,18,11
2025-10-05T12:41:48.227000+00:00,9896,1270,87,13
2025-10-05T12:41:48.227000+00:00,9896,1270,31,12
2025-10-05T12:41:50.354000+00:00,9896,1270,87,14
2025-10-05T12:41:50.354000+00:00,9896,1270,55,13
2025-10-05T12:41:55.554000+00:00,9896,1270,87,15
2025-10-05T12:41:55.554000+00:00,9896,1270,10,14
2025-10-05T12:41:56.179000+00:00,9896,1270,87,16
2025-10-05T12:41:56.179000+00:00,9896,1270,23,15
2025-10-05T12:42:57.414000+00:00,9896,1270,1,5
2025-10-05T12:42:57.414000+00:00,9896,1270,44,6
2025-10-05T12:43:09.177000+00:00,9896,1270,44,7
2025-10-05T12:43:09.177000+00:00,9896,1270,14,6
2025-10-05T12:43:14.726000+00:00,9896,1270,44,8
2025-10-05T12:43:14.726000+00:00,9896,1270,16,7
2025-10-05T12:43:20.502000+00:00,9896,1270,44,9
2025-10-05T12:43:20.502000+00:00,9896,1270,27,8
2025-10-05T12:43:31.721000+00:00,9896,1270,10,15
2025-10-05T12:43:31.721000+00:00,9896,1270,23,14
2025-10-05T12:43:33.667000+00:00,9896,1270,87,15
2025-10-05T12:43:33.667000+00:00,9896,1270,10,16
2025-10-05T12:43:35.671000+00:00,9896,1270,6,16
2025-10-05T12:43:35.671000+00:00,9896,1270,10,17
2025-10-05T12:43:40.478000+00:00,9896,1270,43,17
2025-10-05T12:43:40.478000+00:00,9896,1270,10,18
2025-10-05T12:43:41.863000+00:00,9896,1270,22,18
2025-10-05T12:43:41.863000+00:00,9896,1270,10,19
2025-10-05T12:43:45.103000+00:00,9896,1270,5,19
2025-10-05T12:43:45.103000+00:00,9896,1270,10,20
2025-10-05T12:44:18.593000+00:00,9896,1270,63,2
2025-10-05T12:44:18.593000+00:00,9896,1270,4,1
2025-10-05T12:44:23.777000+00:00,9896,1270,63,3
2025-10-05T12:44:23.777000+00:00,9896,1270,81,2
