date,session_key,meeting_key,driver_number,position
2025-08-31T12:06:55.856000+00:00,9920,1267,81,1
2025-08-31T12:06:55.856000+00:00,9920,1267,4,2
2025-08-31T12:06:55.856000+00:00,9920,1267,1,3
2025-08-31T12:06:55.856000+00:00,9920,1267,6,4
2025-08-31T12:06:55.856000+00:00,9920,1267,63,5
2025-08-31T12:06:55.856000+00:00,9920,1267,16,6
2025-08-31T12:06:55.856000+00:00,9920,1267,44,7
2025-08-31T12:06:55.856000+00:00,9920,1267,30,8
2025-08-31T12:06:55.856000+00:00,9920,1267,55,9
2025-08-31T12:06:55.856000+00:00,9920,1267,14,10
2025-08-31T12:06:55.856000+00:00,9920,1267,12,11
2025-08-31T12:06:55.856000+00:00,9920,1267,22,12
2025-08-31T12:06:55.856000+00:00,9920,1267,5,13
2025-08-31T12:06:55.856000+00:00,9920,1267,10,14
2025-08-31T12:06:55.856000+00:00,9920,1267,23,15
2025-08-31T12:06:55.856000+00:00,9920,1267,43,16
2025-08-31T12:06:55.856000+00:00,9920,1267,27,17
2025-08-31T12:06:55.856000+00:00,9920,1267,31,18
2025-08-31T12:06:55.856000+00:00,9920,1267,18,19
2025-08-31T12:06:55.856000+00:00,9920,1267,87,20
2025-08-31T13:03:28.992000+00:00,9920,1267,4,3
2025-08-31T13:03:28.992000+00:00,9920,1267,1,2
2025-08-31T13:03:31.026000+00:00,9920,1267,12,12
2025-08-31T13:03:31.026000+00:00,9920,1267,22,11
2025-08-31T13:03:31.274000+00:00,9920,1267,12,11
2025-08-31T13:03:31.274000+00:00,9920,1267,22,12
2025-08-31T13:03:31.603000+00:00,9920,1267,5,14
2025-08-31T13:03:31.603000+00:00,9920,1267,10,15
2025-08-31T13:03:31.603000+00:00,9920,1267,23,16
2025-08-31T13:03:31.603000+00:00,9920,1267,43,17
2025-08-31T13:03:31.603000+00:00,9920,1267,27,18
2025-08-31T13:03:31.603000+00:00,9920,1267,31,19
2025-08-31T13:03:31.603000+00:00,9920,1267,18,13
2025-08-31T13:03:31.632000+00:00,9920,1267,22,13
2025-08-31T13:03:31.632000+00:00,9920,1267,5,15
