date,session_key,meeting_key,position,driver_number
2025-05-25T12:07:10.508000+00:00,9979,1261,1,4
2025-05-25T12:07:10.508000+00:00,9979,1261,2,16
2025-05-25T12:07:10.508000+00:00,9979,1261,3,81
2025-05-25T12:07:10.508000+00:00,9979,1261,4,1
2025-05-25T12:07:10.508000+00:00,9979,1261,5,6
2025-05-25T12:07:10.508000+00:00,9979,1261,6,14
2025-05-25T12:07:10.508000+00:00,9979,1261,7,44
2025-05-25T12:07:10.508000+00:00,9979,1261,8,31
2025-05-25T12:07:10.508000+00:00,9979,1261,9,30
2025-05-25T12:07:10.508000+00:00,9979,1261,10,23
2025-05-25T12:07:10.508000+00:00,9979,1261,11,55
2025-05-25T12:07:10.508000+00:00,9979,1261,12,22
2025-05-25T12:07:10.508000+00:00,9979,1261,13,27
2025-05-25T12:07:10.508000+00:00,9979,1261,14,63
2025-05-25T12:07:10.508000+00:00,9979,1261,15,12
2025-05-25T12:07:10.508000+00:00,9979,1261,16,5
2025-05-25T12:07:10.508000+00:00,9979,1261,17,10
2025-05-25T12:07:10.508000+00:00,9979,1261,18,43
2025-05-25T12:07:10.508000+00:00,9979,1261,19,18
2025-05-25T12:07:10.508000+00:00,9979,1261,20,87
2025-05-25T13:03:25.350000+00:00,9979,1261,13,22
2025-05-25T13:03:25.350000+00:00,9979,1261,12,27
2025-05-25T13:03:53.538000+00:00,9979,1261,16,12
2025-05-25T13:03:53.538000+00:00,9979,1261,15,5
2025-05-25T13:04:00.304000+00:00,9979,1261,15,12
2025-05-25T13:04:00.304000+00:00,9979,1261,16,5
2025-05-25T13:04:01.054000+00:00,9979,1261,17,5
2025-05-25T13:04:01.054000+00:00,9979,1261,16,10
2025-05-25T13:04:01.710000+00:00,9979,1261,18,5
2025-05-25T13:04:01.710000+00:00,9979,1261,17,43
2025-05-25T13:04:02.241000+00:00,9979,1261,19,5
2025-05-25T13:04:02.241000+00:00,9979,1261,18,18
2025-05-25T13:04:02.960000+00:00,9979,1261,20,5
2025-05-25T13:04:02.960000+00:00,9979,1261,19,87
2025-05-25T13:04:39.745000+00:00,9979,1261,14,22
2025-05-25T13:04:39.745000+00:00,9979,1261,13,63
2025-05-25T13:04:40.361000+00:00,9979,1261,15,22
2025-05-25T13:04:40.361000+00:00,9979,1261,14,12
2025-05-25T13:04:41.774000+00:00,9979,1261,16,22
