date,session_key,position,driver_number,meeting_key
2025-08-03T12:05:27.656000+00:00,9928,1,16,1266
2025-08-03T12:05:27.656000+00:00,9928,2,81,1266
2025-08-03T12:05:27.656000+00:00,9928,3,4,1266
2025-08-03T12:05:27.656000+00:00,9928,4,63,1266
2025-08-03T12:05:27.656000+00:00,9928,5,14,1266
2025-08-03T12:05:27.656000+00:00,9928,6,18,1266
2025-08-03T12:05:27.656000+00:00,9928,7,5,1266
2025-08-03T12:05:27.656000+00:00,9928,8,1,1266
2025-08-03T12:05:27.656000+00:00,9928,9,30,1266
2025-08-03T12:05:27.656000+00:00,9928,10,6,1266
2025-08-03T12:05:27.656000+00:00,9928,11,87,1266
2025-08-03T12:05:27.656000+00:00,9928,12,44,1266
2025-08-03T12:05:27.656000+00:00,9928,13,55,1266
2025-08-03T12:05:27.656000+00:00,9928,14,43,1266
2025-08-03T12:05:27.656000+00:00,9928,15,12,1266
2025-08-03T12:05:27.656000+00:00,9928,16,10,1266
2025-08-03T12:05:27.656000+00:00,9928,17,31,1266
2025-08-03T12:05:27.656000+00:00,9928,18,27,1266
2025-08-03T12:05:27.656000+00:00,9928,19,23,1266
2025-08-03T12:05:27.656000+00:00,9928,20,22,1266
2025-08-03T13:03:17.236000+00:00,9928,4,4,1266
2025-08-03T13:03:17.236000+00:00,9928,3,63,1266
2025-08-03T13:03:17.293000+00:00,9928,5,4,1266
2025-08-03T13:03:17.293000+00:00,9928,4,14,1266
2025-08-03T13:03:17.621000+00:00,9928,7,18,1266
2025-08-03T13:03:17.621000+00:00,9928,6,5,1266
2025-08-03T13:03:18.169000+00:00,9928,8,18,1266
2025-08-03T13:03:18.169000+00:00,9928,9,1,1266
2025-08-03T13:03:18.169000+00:00,9928,7,30,1266
2025-08-03T13:03:18.525000+00:00,9928,10,1,1266
2025-08-03T13:03:18.525000+00:00,9928,11,6,1266
2025-08-03T13:03:18.525000+00:00,9928,9,87,1266
2025-08-03T13:03:18.632000+00:00,9928,12,6,1266
2025-08-03T13:03:18.632000+00:00,9928,13,44,1266
2025-08-03T13:03:18.632000+00:00,9928,11,55,1266
2025-08-03T13:03:19.046000+00:00,9928,17,10,1266
2025-08-03T13:03:19.046000+00:00,9928,16,31,1266
2025-08-03T13:03:19.125000+00:00,9928,18,10,1266
2025-08-03T13:03:19.125000+00:00,9928,19,27,1266
2025-08-03T13:03:19.125000+00:00,9928,17,23,1266
2025-08-03T13:03:19.218000+00:00,9928,19,10,1266
2025-08-03T13:03:19.218000+00:00,9928,18,27,1266
2025-08-03T13:03:25.121000+00:00,9928,7,18,1266
2025-08-03T13:03:25.121000+00:00,9928,8,30,1266
2025-08-03T13:03:25.980000+00:00,9928,11,6,1266
2025-08-03T13:03:25.980000+00:00,9928,12,55,1266
2025-08-03T13:03:26.480000+00:00,9928,15,43,1266
2025-08-03T13:03:26.480000+00:00,9928,14,12,1266
2025-08-03T13:03:26.746000+00:00,9928,18,31,1266
2025-08-03T13:03:26.746000+00:00,9928,16,27,1266
2025-08-03T13:03:26.746000+00:00,9928,17,23,1266
2025-08-03T13:03:31.903000+00:00,9928,9,1,1266
2025-08-03T13:03:31.903000+00:00,9928,10,87,1266
2025-08-03T13:03:33.433000+00:00,9928,17,31,1266
2025-08-03T13:03:33.433000+00:00,9928,18,23,1266
2025-08-03T13:03:37.590000+00:00,9928,14,44,1266
2025-08-03T13:03:37.590000+00:00,9928,13,12,1266
2025-08-03T13:03:37.895000+00:00,9928,16,43,1266
2025-08-03T13:03:37.895000+00:00,9928,15,31,1266
2025-08-03T13:03:37.895000+00:00,9928,17,27,1266
2025-08-03T13:03:38.177000+00:00,9928,17,43,1266
2025-08-03T13:03:38.177000+00:00,9928,18,27,1266
2025-08-03T13:03:38.177000+00:00,9928,16,23,1266
2025-08-03T13:03:38.212000+00:00,9928,18,43,1266
2025-08-03T13:03:38.212000+00:00,9928,17,27,1266
2025-08-03T13:03:40.984000+00:00,9928,13,55,1266
2025-08-03T13:03:40.984000+00:00,9928,12,12,1266
2025-08-03T13:03:41.180000+00:00,9928,12,55,1266
2025-08-03T13:03:41.180000+00:00,9928,13,12,1266
2025-08-03T13:03:41.851000+00:00,9928,16,27,1266
2025-08-03T13:03:41.851000+00:00,9928,17,23,1266
2025-08-03T13:03:41.959000+00:00,9928,17,27,1266
2025-08-03T13:03:41.959000+00:00,9928,16,23,1266
2025-08-03T13:04:02.539000+00:00,9928,16,31,1266
2025-08-03T13:04:02.539000+00:00,9928,15,23,1266
2025-08-03T13:04:11.625000+00:00,9928,15,31,1266
2025-08-03T13:04:11.625000+00:00,9928,16,23,1266
2025-08-03T13:05:25.147000+00:00,9928,8,1,1266
2025-08-03T13:05:25.147000+00:00,9928,9,30,1266
2025-08-03T13:06:03.860000+00:00,9928,4,4,1266
2025-08-03T13:06:03.860000+00:00,9928,5,14,1266
2025-08-03T13:06:48.762000+00:00,9928,8,18,1266
2025-08-03T13:06:48.762000+00:00,9928,7,1,1266
2025-08-03T13:09:10.241000+00:00,9928,19,43,1266
2025-08-03T13:09:10.241000+00:00,9928,18,10,1266
2025-08-03T13:10:20.896000+00:00,9928,17,10,1266
2025-08-03T13:10:20.896000+00:00,9928,18,27,1266
2025-08-03T13:10:21.613000+00:00,9928,18,43,1266
2025-08-03T13:10:21.613000+00:00,9928,19,27,1266
2025-08-03T13:10:22.164000+00:00,9928,20,27,1266
2025-08-03T13:10:22.164000+00:00,9928,19,22,1266
2025-08-03T13:21:31.771000+00:00,9928,19,43,1266
2025-08-03T13:21:31.771000+00:00,9928,18,22,1266
2025-08-03T13:21:41.627000+00:00,9928,20,43,1266
2025-08-03T13:21:41.627000+00:00,9928,19,27,1266
2025-08-03T13:22:53.710000+00:00,9928,15,10,1266
2025-08-03T13:22:53.710000+00:00,9928,16,31,1266
2025-08-03T13:22:53.710000+00:00,9928,17,23,1266
2025-08-03T13:22:59.085000+00:00,9928,17,31,1266
2025-08-03T13:22:59.085000+00:00,9928,18,23,1266
2025-08-03T13:22:59.085000+00:00,9928,16,22,1266
2025-08-03T13:23:03.981000+00:00,9928,18,31,1266
2025-08-03T13:23:03.981000+00:00,9928,17,27,1266
2025-08-03T13:23:03.981000+00:00,9928,19,23,1266
2025-08-03T13:23:14.533000+00:00,9928,19,31,1266
2025-08-03T13:23:14.533000+00:00,9928,18,23,1266
2025-08-03T13:24:13.954000+00:00,9928,13,55,1266
2025-08-03T13:24:13.954000+00:00,9928,12,12,1266
2025-08-03T13:24:14.626000+00:00,9928,13,44,1266
2025-08-03T13:24:14.626000+00:00,9928,14,55,1266
2025-08-03T13:24:20.876000+00:00,9928,15,55,1266
2025-08-03T13:24:20.876000+00:00,9928,14,10,1266
2025-08-03T13:24:22.876000+00:00,9928,16,55,1266
2025-08-03T13:24:22.876000+00:00,9928,15,22,1266
2025-08-03T13:24:26.173000+00:00,9928,17,55,1266
2025-08-03T13:24:26.173000+00:00,9928,16,27,1266
2025-08-03T13:26:54.234000+00:00,9928,7,18,1266
