meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1254,9693,1,18,1.0,2.0,INTERMEDIATE,0
1254,9693,1,12,1.0,2.0,INTERMEDIATE,0
1254,9693,1,14,1.0,2.0,INTERMEDIATE,0
1254,9693,1,63,1.0,2.0,INTERMEDIATE,0
1254,9693,1,7,,,INTERMEDIATE,0
1254,9693,1,4,1.0,2.0,INTERMEDIATE,0
1254,9693,1,27,1.0,2.0,INTERMEDIATE,0
1254,9693,1,55,,,INTERMEDIATE,0
1254,9693,1,31,1.0,2.0,INTERMEDIATE,0
1254,9693,1,22,1.0,2.0,INTERMEDIATE,0
1254,9693,1,10,1.0,2.0,INTERMEDIATE,0
1254,9693,1,44,1.0,2.0,INTERMEDIATE,0
1254,9693,1,1,1.0,2.0,INTERMEDIATE,0
1254,9693,1,6,,,INTERMEDIATE,0
1254,9693,1,23,1.0,2.0,INTERMEDIATE,0
1254,9693,1,30,,,INTERMEDIATE,0
1254,9693,1,16,1.0,2.0,INTERMEDIATE,0
1254,9693,1,81,1.0,2.0,INTERMEDIATE,0
1254,9693,1,87,1.0,2.0,INTERMEDIATE,0
1254,9693,1,5,1.0,2.0,INTERMEDIATE,0
1254,9693,2,30,,,INTERMEDIATE,0
1254,9693,3,30,1.0,2.0,INTERMEDIATE,0
1254,9693,2,4,2.0,3.0,INTERMEDIATE,0
1254,9693,2,1,2.0,3.0,INTERMEDIATE,2
1254,9693,2,81,2.0,3.0,INTERMEDIATE,0
1254,9693,2,63,2.0,3.0,INTERMEDIATE,2
1254,9693,2,16,2.0,3.0,INTERMEDIATE,2
1254,9693,2,23,2.0,3.0,INTERMEDIATE,0
1254,9693,2,22,2.0,3.0,INTERMEDIATE,2
1254,9693,2,10,2.0,3.0,INTERMEDIATE,0
1254,9693,2,44,2.0,3.0,INTERMEDIATE,2
1254,9693,2,14,2.0,3.0,INTERMEDIATE,2
1254,9693,2,27,2.0,3.0,INTERMEDIATE,0
1254,9693,2,18,2.0,3.0,INTERMEDIATE,2
1254,9693,2,5,2.0,2.0,INTERMEDIATE,0
1254,9693,2,31,2.0,3.0,INTERMEDIATE,2
1254,9693,2,12,2.0,3.0,INTERMEDIATE,2
1254,9693,4,30,2.0,3.0,INTERMEDIATE,2
1254,9693,2,87,2.0,2.0,INTERMEDIATE,0
1254,9693,3,5,3.0,3.0,INTERMEDIATE,0
1254,9693,3,87,3.0,3.0,INTERMEDIATE,0
1254,9693,3,1,3.0,4.0,INTERMEDIATE,0
1254,9693,3,4,3.0,4.0,INTERMEDIATE,0
1254,9693,3,81,3.0,4.0,INTERMEDIATE,0
1254,9693,3,63,3.0,4.0,INTERMEDIATE,3
1254,9693,3,16,3.0,4.0,INTERMEDIATE,3
1254,9693,3,22,3.0,4.0,INTERMEDIATE,0
1254,9693,3,23,3.0,4.0,INTERMEDIATE,1
1254,9693,3,44,3.0,4.0,INTERMEDIATE,3
1254,9693,3,14,3.0,4.0,INTERMEDIATE,3
1254,9693,3,10,3.0,4.0,INTERMEDIATE,3
1254,9693,3,27,3.0,4.0,INTERMEDIATE,3
1254,9693,3,18,3.0,4.0,INTERMEDIATE,3
1254,9693,3,12,3.0,4.0,INTERMEDIATE,0
1254,9693,4,5,3.0,3.0,INTERMEDIATE,0
1254,9693,3,31,3.0,4.0,INTERMEDIATE,3
1254,9693,4,87,3.0,3.0,INTERMEDIATE,0
1254,9693,5,30,3.0,4.0,INTERMEDIATE,3
1254,9693,5,5,4.0,4.0,INTERMEDIATE,3
1254,9693,5,87,4.0,4.0,INTERMEDIATE,3
1254,9693,4,4,4.0,34.0,INTERMEDIATE,0
1254,9693,4,1,4.0,34.0,INTERMEDIATE,0
1254,9693,4,63,4.0,34.0,INTERMEDIATE,4
1254,9693,4,81,4.0,34.0,INTERMEDIATE,0
1254,9693,4,22,4.0,33.0,INTERMEDIATE,0
